nombre,nickname,país,comida_favorita,número_de_la_suerte
Kevin,brewerrita,Pakistan,pasta,63
Anthony,howardemma,Puerto Rico,ensalada,93
Thomas,cruzjoseph,Kenya,pizza,63
Amanda,orozcojessica,Romania,chocolate,53
Gregory,tracey95,Bermuda,pollo,68
Michele,amckenzie,Chad,pasta,16
Steven,kathrynsnow,Cayman Islands,fruta,17
Dillon,ambergray,Japan,pasta,91
Gary,vsweeney,Slovenia,sushi,87
Charles,petergonzalez,Palestinian Territory,fruta,58
William,brittney27,Saint Barthelemy,tacos,92
Brandi,maryburns,Andorra,chocolate,29
Tammy,elizabethberger,Syrian Arab Republic,helado,52
Catherine,vargasjames,Pakistan,pollo,13
Jessica,patrickmyers,Afghanistan,hamburguesa,60
Lawrence,tpeterson,Iceland,fruta,31
Kyle,jamesstevens,Oman,hamburguesa,31
Felicia,jonathan34,Nauru,helado,42
Robert,daniel93,North Macedonia,fruta,10
Andrew,alexander43,Ghana,fruta,9
Edwin,troy19,Saudi Arabia,fruta,8
Kenneth,jennybuck,Saint Helena,tacos,73
Kathleen,oanderson,Suriname,ensalada,89
Francisco,hmccall,Iceland,tacos,4
Cassandra,fkelley,Antigua and Barbuda,chocolate,27
Lisa,srichmond,Anguilla,pasta,55
Andrew,haneyjeffrey,Costa Rica,tacos,47
Jillian,vparrish,Japan,helado,22
Troy,xfernandez,Dominican Republic,pasta,41
Anthony,randall63,Heard Island and McDonald Islands,ensalada,17
Andrew,natalievasquez,Palau,chocolate,35
Jaclyn,madison27,Cote d'Ivoire,pollo,99
Christopher,kimberly14,Croatia,pasta,89
Mark,spatterson,Cameroon,tacos,64
Maurice,palmersarah,Mauritania,pollo,65
Ashley,allen19,Israel,hamburguesa,10
Stephanie,corymurillo,New Zealand,chocolate,90
Tiffany,tracy11,Slovenia,tacos,5
Manuel,smithjessica,Martinique,hamburguesa,82
Jason,bookerdana,El Salvador,tacos,52
Timothy,brownteresa,Jordan,chocolate,19
Megan,fitzgeraldangela,Macao,sushi,89
Alex,kristinmatthews,Qatar,sushi,46
Christina,paustin,Lebanon,pollo,92
John,nwalker,Libyan Arab Jamahiriya,fruta,52
Amanda,gdavis,Cote d'Ivoire,fruta,92
James,robertsonwalter,Gambia,helado,7
Christy,ambergarcia,Sierra Leone,pasta,15
Kim,marshallwesley,Spain,sushi,34
Andrew,kathy99,Poland,sushi,60
Phillip,angelchang,Chile,tacos,36
Blake,alison77,India,pizza,42
Craig,johnsonkimberly,Argentina,helado,70
Diane,reedamanda,Saint Pierre and Miquelon,tacos,42
Jodi,strongelizabeth,Thailand,hamburguesa,64
Betty,michael25,Bouvet Island (Bouvetoya),sushi,88
Jeffrey,marksteele,Wallis and Futuna,pollo,50
Natalie,zlawson,Bermuda,pollo,16
Kari,gomezmichelle,Turkmenistan,ensalada,45
Johnny,qjackson,Tuvalu,pollo,29
Jonathan,osbornarthur,Malaysia,pizza,37
Patrick,jennifer26,Brunei Darussalam,pollo,93
Jeffrey,john61,French Polynesia,ensalada,85
Kenneth,nmiller,Jamaica,ensalada,14
Andrew,phester,United States of America,chocolate,32
Robert,gromero,Nepal,chocolate,36
Thomas,laura22,Sudan,pollo,55
